,z1,z2,y,y_
381,-0.40600136,11.1499195,na,1
382,-0.368567,11.136578,na,1
383,-0.39343768,11.144477,na,1
384,-0.4208471,11.272183,na,1
385,-0.4326342,11.251567,na,1
386,-0.37185824,11.280097,walking,1
387,-0.25829,11.41582,walking,1
388,-0.32304952,11.633711,walking,1
389,-0.18815082,11.720602,walking,1
390,0.043302927,11.900225,walking,1
391,-0.04292276,12.081736,walking,1
392,-0.08247592,12.362783,walking,1
393,-0.1745648,12.551441,na,1
394,-0.4839319,12.70197,na,1
395,-0.8019743,12.830891,na,1
396,-0.8984315,12.977241,na,1
397,-1.0282228,13.040436,na,1
398,-1.414195,13.13465,na,1
399,-1.8856351,13.266321,na,1
400,-2.0338829,13.305575,na,1
401,-2.0013933,13.316706,na,1
402,-2.0745945,13.331261,na,1
403,-2.0460544,13.335431,na,1
404,-2.0535095,13.33956,na,1
405,-2.0418737,13.315915,na,1
406,-2.081445,13.276398,walking,1
407,-2.0681398,13.246794,walking,1
408,-2.1104057,13.248613,walking,1
409,-2.181597,13.241617,walking,1
410,-2.0104537,13.31855,walking,1
411,-1.9686456,13.326641,walking,1
412,-1.8039074,13.240231,walking,1
413,-1.6767881,13.029792,walking,1
414,-1.3832859,12.893121,walking,1
415,-0.9716497,12.668272,walking,1
416,-0.7613901,12.134935,walking,1
417,-0.72223324,11.858465,walking,1
418,-0.6872266,11.793996,walking,1
419,-0.4710438,11.64883,walking,1
420,-0.43409812,11.493294,walking,1
421,-0.4670353,11.264311,walking,1
422,0.119042516,9.857089,na,1
423,0.22492367,9.59984,na,1
424,0.19477738,9.606624,na,1
425,0.13835396,9.537108,na,1
426,0.06584736,9.557704,na,1
427,0.027468778,9.546392,na,1
428,0.040814463,9.563287,na,1
429,-0.080475375,9.606,na,1
430,-0.20392807,9.742599,na,1
431,-0.7034902,10.075866,na,1
432,-1.3019246,10.284818,na,1
433,-1.4425911,10.287138,na,1
434,-1.5391176,10.202706,na,1
435,-1.7699575,10.09181,na,1
436,-1.9358691,9.903922,na,1
437,-2.191837,9.627561,na,1
438,-2.498622,9.342683,na,0
439,-2.957176,9.133911,na,0
440,-3.0642688,8.998671,na,0
441,-3.1498106,9.029074,na,0
442,-3.192654,8.943533,na,0
443,-3.1578794,8.911524,na,0
444,-3.192295,8.668681,walking,0
445,-3.0985942,8.576443,walking,0
446,-2.9360797,7.876543,walking,0
447,-2.9125369,7.4676414,walking,0
448,-2.7627423,7.2016635,walking,0
449,-2.652086,6.415646,walking,0
450,-2.6299646,6.1703053,walking,0
451,-2.5306988,5.7958884,walking,0
452,-2.575181,5.6541142,walking,0
453,-2.5238636,5.2825217,na,0
454,-2.6119196,5.094512,na,0
455,-2.5799992,5.0731525,walking,0
456,-2.650687,4.9889364,walking,0
457,-2.7281327,4.957192,walking,0
458,-2.63918,4.950313,na,0
459,-2.633842,4.9445844,na,0
460,-2.5956178,4.961848,na,0
461,-2.6733565,5.0832834,na,0
462,-2.7285666,5.350095,na,0
463,-2.6728163,5.5440173,na,0
464,-2.696025,5.8961935,na,0
465,-2.7365544,6.121011,na,0
466,-2.748314,6.3666706,na,0
467,-2.932018,6.6528234,na,0
468,-2.9106257,6.94031,na,0
469,-3.2324207,7.355181,na,0
470,-3.3751373,7.6117663,na,0
471,-3.4305942,7.778043,na,0
472,-3.3808577,7.7616715,na,0
473,-3.3765056,7.8149753,na,0
474,-3.333922,8.014646,na,0
475,-3.310823,8.81434,na,0
476,-3.168791,10.107295,na,1
477,-3.2106934,10.460905,na,1
478,-3.2797503,10.579888,na,1
479,-3.3281157,10.837988,na,1
480,-3.3659616,10.974678,na,1
481,-3.3343177,11.058012,na,1
482,-3.3343616,11.004827,na,1
483,-3.355784,11.0316515,walking,1
484,-3.221014,11.049047,walking,1
485,-3.0799568,11.017374,walking,1
486,-2.8960807,11.043252,walking,1
487,-2.588263,10.935412,walking,1
488,-2.4433508,10.912251,walking,1
489,-2.1089842,10.904155,walking,1
490,-1.9543806,10.85878,walking,1
491,-1.5288785,10.810181,walking,1
492,-1.2045238,10.849618,na,1
493,-0.8007798,10.774268,na,1
494,-0.6625921,10.736973,na,1
495,-0.5750492,10.985773,walking,1
496,-0.31216526,10.901649,na,1
497,-0.16273558,11.126852,na,1
498,-0.2051724,11.236926,na,1
499,0.03727802,11.377647,na,1
500,0.11540767,11.54593,na,1
501,0.049317118,12.1760435,na,1
502,0.13505884,12.321123,na,1
503,0.084629774,12.382962,na,1
504,0.21160802,12.379784,na,1
505,0.11597421,12.417307,na,1
506,0.20791152,12.3887415,na,1
507,0.19965889,12.405654,na,1
508,0.29884818,12.229202,na,1
509,0.38063,12.058666,na,1
510,0.40131032,12.049819,na,1
511,0.4329455,12.03811,na,1
512,0.49147242,12.055809,na,1
513,0.5156823,11.96077,walking,1
514,0.5459541,11.927699,walking,1
515,0.57818466,11.814236,walking,1
516,0.5481843,11.820224,walking,1
517,0.46887857,11.800182,walking,1
518,0.44207573,11.803106,walking,1
519,0.16656771,11.839782,walking,1
520,0.008685904,11.890323,walking,1
521,-0.00063266256,11.925298,walking,1
522,-0.1674298,11.9717,na,1
523,-0.2641307,11.915145,na,1
524,-0.38140118,12.116444,na,1
525,-0.3997511,12.171225,na,1
526,-0.6896475,12.475532,na,1
527,-0.8392437,12.68528,na,1
528,-1.0199873,13.056785,na,1
529,-1.1548743,13.380107,na,1
530,-1.1967137,13.451241,na,1
531,-1.1544163,13.477376,na,1
532,-1.303655,13.414235,na,1
533,-1.1684425,13.419678,na,1
534,-1.0789763,13.3557,na,1
535,-0.69980305,12.727596,na,1
536,0.6611925,12.366922,walking,1
537,0.92547184,11.968315,walking,1
538,1.2904539,11.716243,walking,1
539,1.4478462,11.585518,walking,1
540,1.5827619,11.505984,na,1
541,1.5449499,11.431451,na,1
542,1.6705304,11.334899,na,1
543,1.6470983,11.343962,na,1
544,1.6585897,11.260226,na,1
545,1.6217556,11.1691475,na,1
546,1.644071,11.201433,standing,1
547,1.6373208,11.099396,standing,1
548,1.6226482,11.160104,standing,1
549,1.6495187,11.016673,standing,1
550,1.5736388,10.90438,standing,1
551,1.635181,11.00362,standing,1
552,1.5522553,10.979425,standing,1
553,1.5651412,10.989665,na,1
554,1.5762846,11.084109,na,1
555,1.5323286,11.347885,na,1
556,1.3095726,11.666951,na,1
557,1.2643762,12.029578,na,1
558,1.1851493,12.147028,na,1
559,1.1317121,12.1789055,na,1
560,1.1422809,12.270098,na,1
561,1.1265516,12.160639,na,1
562,1.115809,12.116354,na,1
563,1.0428025,11.9489,na,1
564,0.85574144,11.656747,na,1
565,-0.25881186,9.126763,na,1
566,-0.27572075,9.072825,walking,1
567,-0.20106634,9.116957,na,1
568,-0.3625442,8.958145,na,0
569,-0.3157501,8.915484,na,0
570,-0.39474523,8.525707,na,0
571,-0.42706352,8.274285,na,0
572,-0.5123363,8.210481,na,0
573,-0.41425055,8.245636,na,0
574,-0.22984143,8.476839,rearing,0
575,-0.06055101,8.625938,rearing,0
576,-0.092861295,8.746548,rearing,0
577,-0.19540812,8.869966,rearing,0
578,-0.22855239,8.904223,rearing,0
579,-0.4850476,8.960488,rearing,0
580,-0.48491552,8.874,rearing,0
581,-0.6005646,9.042352,rearing,0
582,-0.56614345,8.947223,rearing,0
583,-0.6868877,8.822234,rearing,0
584,-1.0440912,8.596733,rearing,0
585,-1.4688284,8.294061,rearing,0
586,-1.8421395,8.153283,rearing,0
587,-1.977041,8.111677,rearing,0
588,-2.0961943,8.162373,rearing,0
589,-2.1147523,8.292757,rearing,0
590,-2.1114113,8.9591255,rearing,0
591,-2.1904855,9.389212,na,0
592,-2.2907677,12.116784,na,1
